Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR
,2021-11-05,Brighton,West Ham,,,,,,,,,,,,,,,,,,
,2021-11-05,Burnley,Leeds,,,,,,,,,,,,,,,,,,
,2021-11-05,Everton,Sheffield Utd,,,,,,,,,,,,,,,,,,
,2021-11-05,Man Utd,Leicester,,,,,,,,,,,,,,,,,,
,2021-11-05,West Brom,Liverpool,,,,,,,,,,,,,,,,,,
,2021-11-05,Crystal Palace,Aston Villa,,,,,,,,,,,,,,,,,,
,2021-12-05,Chelsea,Arsenal,,,,,,,,,,,,,,,,,,
,2021-12-05,Newcastle,Man City,,,,,,,,,,,,,,,,,,
,2021-12-05,Southampton,Fulham,,,,,,,,,,,,,,,,,,
,2021-12-05,Spurs,Wolves,,,,,,,,,,,,,,,,,,
