Date,Location,HomeTeam,AwayTeam
27/10/2019 16:30,Emirates Stadium,Arsenal,Crystal Palace
27/10/2019 16:30,Anfield,Liverpool,Spurs
27/10/2019 16:30,Carrow Road,Norwich,Man Utd
02/11/2019,Vitality Stadium,Bournemouth,Man Utd
02/11/2019,Emirates Stadium,Arsenal,Wolves
02/11/2019,Villa Park,Aston Villa,Liverpool
02/11/2019,Amex Stadium,Brighton,Norwich
02/11/2019,Selhurst Park,Crystal Palace,Leicester
02/11/2019,Goodison Park,Everton,Spurs
02/11/2019,Etihad Stadium,Man City,Southampton
02/11/2019,Bramall Lane,Sheffield Utd,Burnley
02/11/2019,Vicarage Road,Watford,Chelsea
02/11/2019,London Stadium,West Ham,Newcastle
09/11/2019,Turf Moor,Burnley,West Ham
09/11/2019,Stamford Bridge,Chelsea,Crystal Palace
09/11/2019,King Power Stadium,Leicester,Arsenal
09/11/2019,Anfield,Liverpool,Man City
09/11/2019,Old Trafford,Man Utd,Brighton
09/11/2019,St. James' Park,Newcastle,Bournemouth
09/11/2019,Carrow Road,Norwich,Watford
09/11/2019,St. Mary's Stadium,Southampton,Everton
09/11/2019,Tottenham Hotspur Stadium,Spurs,Sheffield Utd
09/11/2019,Molineux Stadium,Wolves,Aston Villa
23/11/2019 15:00,Vitality Stadium,Bournemouth,Wolves
23/11/2019 15:00,Emirates Stadium,Arsenal,Southampton
23/11/2019 15:00,Villa Park,Aston Villa,Newcastle
23/11/2019 15:00,Amex Stadium,Brighton,Leicester
23/11/2019 15:00,Selhurst Park,Crystal Palace,Liverpool
23/11/2019 15:00,Goodison Park,Everton,Norwich
23/11/2019 15:00,Etihad Stadium,Man City,Chelsea
23/11/2019 15:00,Bramall Lane,Sheffield Utd,Man Utd
23/11/2019 15:00,Vicarage Road,Watford,Burnley
23/11/2019 15:00,London Stadium,West Ham,Spurs
30/11/2019 15:00,Turf Moor,Burnley,Crystal Palace
30/11/2019 15:00,Stamford Bridge,Chelsea,West Ham
30/11/2019 15:00,King Power Stadium,Leicester,Everton
30/11/2019 15:00,Anfield,Liverpool,Brighton
30/11/2019 15:00,Old Trafford,Man Utd,Aston Villa
30/11/2019 15:00,St. James' Park,Newcastle,Man City
30/11/2019 15:00,Carrow Road,Norwich,Arsenal
30/11/2019 15:00,St. Mary's Stadium,Southampton,Watford
30/11/2019 15:00,Tottenham Hotspur Stadium,Spurs,Bournemouth
30/11/2019 15:00,Molineux Stadium,Wolves,Sheffield Utd
03/12/2019,Emirates Stadium,Arsenal,Brighton
03/12/2019,Turf Moor,Burnley,Man City
03/12/2019,King Power Stadium,Leicester,Watford
03/12/2019,Bramall Lane,Sheffield Utd,Newcastle
03/12/2019,Molineux Stadium,Wolves,West Ham
03/12/2019,Old Trafford,Man Utd,Spurs
04/12/2019,Stamford Bridge,Chelsea,Aston Villa
04/12/2019,St. Mary's Stadium,Southampton,Norwich
04/12/2019,Selhurst Park,Crystal Palace,Bournemouth
04/12/2019,Anfield,Liverpool,Everton
07/12/2019,Vitality Stadium,Bournemouth,Liverpool
07/12/2019,Villa Park,Aston Villa,Leicester
07/12/2019,Amex Stadium,Brighton,Wolves
07/12/2019,Goodison Park,Everton,Chelsea
07/12/2019,Etihad Stadium,Man City,Man Utd
07/12/2019,St. James' Park,Newcastle,Southampton
07/12/2019,Carrow Road,Norwich,Sheffield Utd
07/12/2019,Tottenham Hotspur Stadium,Spurs,Burnley
07/12/2019,Vicarage Road,Watford,Crystal Palace
07/12/2019,London Stadium,West Ham,Arsenal
14/12/2019 15:00,Emirates Stadium,Arsenal,Man City
14/12/2019 15:00,Turf Moor,Burnley,Newcastle
14/12/2019 15:00,Stamford Bridge,Chelsea,Bournemouth
14/12/2019 15:00,Selhurst Park,Crystal Palace,Brighton
14/12/2019 15:00,King Power Stadium,Leicester,Norwich
14/12/2019 15:00,Anfield,Liverpool,Watford
14/12/2019 15:00,Old Trafford,Man Utd,Everton
14/12/2019 15:00,Bramall Lane,Sheffield Utd,Aston Villa
14/12/2019 15:00,St. Mary's Stadium,Southampton,West Ham
14/12/2019 15:00,Molineux Stadium,Wolves,Spurs
21/12/2019 15:00,Vitality Stadium,Bournemouth,Burnley
21/12/2019 15:00,Villa Park,Aston Villa,Southampton
21/12/2019 15:00,Amex Stadium,Brighton,Sheffield Utd
21/12/2019 15:00,Goodison Park,Everton,Arsenal
21/12/2019 15:00,Etihad Stadium,Man City,Leicester
21/12/2019 15:00,St. James' Park,Newcastle,Crystal Palace
21/12/2019 15:00,Carrow Road,Norwich,Wolves
21/12/2019 15:00,Tottenham Hotspur Stadium,Spurs,Chelsea
21/12/2019 15:00,Vicarage Road,Watford,Man Utd
21/12/2019 15:00,London Stadium,West Ham,Liverpool
26/12/2019 15:00,Vitality Stadium,Bournemouth,Arsenal
26/12/2019 15:00,Villa Park,Aston Villa,Norwich
26/12/2019 15:00,Stamford Bridge,Chelsea,Southampton
26/12/2019 15:00,Selhurst Park,Crystal Palace,West Ham
26/12/2019 15:00,Goodison Park,Everton,Burnley
26/12/2019 15:00,King Power Stadium,Leicester,Liverpool
26/12/2019 15:00,Old Trafford,Man Utd,Newcastle
26/12/2019 15:00,Bramall Lane,Sheffield Utd,Watford
26/12/2019 15:00,Tottenham Hotspur Stadium,Spurs,Brighton
26/12/2019 15:00,Molineux Stadium,Wolves,Man City
28/12/2019 15:00,Emirates Stadium,Arsenal,Chelsea
28/12/2019 15:00,Amex Stadium,Brighton,Bournemouth
28/12/2019 15:00,Turf Moor,Burnley,Man Utd
28/12/2019 15:00,Anfield,Liverpool,Wolves
28/12/2019 15:00,Etihad Stadium,Man City,Sheffield Utd
28/12/2019 15:00,St. James' Park,Newcastle,Everton
28/12/2019 15:00,Carrow Road,Norwich,Spurs
28/12/2019 15:00,St. Mary's Stadium,Southampton,Crystal Palace
28/12/2019 15:00,Vicarage Road,Watford,Aston Villa
28/12/2019 15:00,London Stadium,West Ham,Leicester
01/01/2020,Emirates Stadium,Arsenal,Man Utd
01/01/2020,Amex Stadium,Brighton,Chelsea
01/01/2020,Turf Moor,Burnley,Aston Villa
01/01/2020,Anfield,Liverpool,Sheffield Utd
01/01/2020,Etihad Stadium,Man City,Everton
01/01/2020,St. James' Park,Newcastle,Leicester
01/01/2020,Carrow Road,Norwich,Crystal Palace
01/01/2020,St. Mary's Stadium,Southampton,Spurs
01/01/2020,Vicarage Road,Watford,Wolves
01/01/2020,London Stadium,West Ham,Bournemouth
11/01/2020,Vitality Stadium,Bournemouth,Watford
11/01/2020,Villa Park,Aston Villa,Man City
11/01/2020,Stamford Bridge,Chelsea,Burnley
11/01/2020,Selhurst Park,Crystal Palace,Arsenal
11/01/2020,Goodison Park,Everton,Brighton
11/01/2020,King Power Stadium,Leicester,Southampton
11/01/2020,Old Trafford,Man Utd,Norwich
11/01/2020,Bramall Lane,Sheffield Utd,West Ham
11/01/2020,Tottenham Hotspur Stadium,Spurs,Liverpool
11/01/2020,Molineux Stadium,Wolves,Newcastle
18/01/2020 15:00,Emirates Stadium,Arsenal,Sheffield Utd
18/01/2020 15:00,Amex Stadium,Brighton,Aston Villa
18/01/2020 15:00,Turf Moor,Burnley,Leicester
18/01/2020 15:00,Anfield,Liverpool,Man Utd
18/01/2020 15:00,Etihad Stadium,Man City,Crystal Palace
18/01/2020 15:00,St. James' Park,Newcastle,Chelsea
18/01/2020 15:00,Carrow Road,Norwich,Bournemouth
18/01/2020 15:00,St. Mary's Stadium,Southampton,Wolves
18/01/2020 15:00,Vicarage Road,Watford,Spurs
18/01/2020 15:00,London Stadium,West Ham,Everton
21/01/2020 19:45,Vitality Stadium,Bournemouth,Brighton
21/01/2020 19:45,Villa Park,Aston Villa,Watford
21/01/2020 19:45,Goodison Park,Everton,Newcastle
21/01/2020 19:45,King Power Stadium,Leicester,West Ham
21/01/2020 19:45,Bramall Lane,Sheffield Utd,Man City
21/01/2020 19:45,Molineux Stadium,Wolves,Liverpool
21/01/2020 20:00,Old Trafford,Man Utd,Burnley
22/01/2020 19:45,Stamford Bridge,Chelsea,Arsenal
22/01/2020 19:45,Tottenham Hotspur Stadium,Spurs,Norwich
22/01/2020 20:00,Selhurst Park,Crystal Palace,Southampton
01/02/2020,Vitality Stadium,Bournemouth,Aston Villa
01/02/2020,Turf Moor,Burnley,Arsenal
01/02/2020,Selhurst Park,Crystal Palace,Sheffield Utd
01/02/2020,King Power Stadium,Leicester,Chelsea
01/02/2020,Anfield,Liverpool,Southampton
01/02/2020,Old Trafford,Man Utd,Wolves
01/02/2020,St. James' Park,Newcastle,Norwich
01/02/2020,Tottenham Hotspur Stadium,Spurs,Man City
01/02/2020,Vicarage Road,Watford,Everton
01/02/2020,London Stadium,West Ham,Brighton
08/02/2020,Emirates Stadium,Arsenal,Newcastle
08/02/2020,Villa Park,Aston Villa,Spurs
08/02/2020,Amex Stadium,Brighton,Watford
08/02/2020,Stamford Bridge,Chelsea,Man Utd
08/02/2020,Goodison Park,Everton,Crystal Palace
08/02/2020,Etihad Stadium,Man City,West Ham
08/02/2020,Carrow Road,Norwich,Liverpool
08/02/2020,Bramall Lane,Sheffield Utd,Bournemouth
08/02/2020,St. Mary's Stadium,Southampton,Burnley
08/02/2020,Molineux Stadium,Wolves,Leicester
22/02/2020 15:00,Emirates Stadium,Arsenal,Everton
22/02/2020 15:00,Turf Moor,Burnley,Bournemouth
22/02/2020 15:00,Stamford Bridge,Chelsea,Spurs
22/02/2020 15:00,Selhurst Park,Crystal Palace,Newcastle
22/02/2020 15:00,King Power Stadium,Leicester,Man City
22/02/2020 15:00,Anfield,Liverpool,West Ham
22/02/2020 15:00,Old Trafford,Man Utd,Watford
22/02/2020 15:00,Bramall Lane,Sheffield Utd,Brighton
22/02/2020 15:00,St. Mary's Stadium,Southampton,Aston Villa
22/02/2020 15:00,Molineux Stadium,Wolves,Norwich
29/02/2020 15:00,Vitality Stadium,Bournemouth,Chelsea
29/02/2020 15:00,Villa Park,Aston Villa,Sheffield Utd
29/02/2020 15:00,Amex Stadium,Brighton,Crystal Palace
29/02/2020 15:00,Goodison Park,Everton,Man Utd
29/02/2020 15:00,Etihad Stadium,Man City,Arsenal
29/02/2020 15:00,St. James' Park,Newcastle,Burnley
29/02/2020 15:00,Carrow Road,Norwich,Leicester
29/02/2020 15:00,Tottenham Hotspur Stadium,Spurs,Wolves
29/02/2020 15:00,Vicarage Road,Watford,Liverpool
29/02/2020 15:00,London Stadium,West Ham,Southampton
07/03/2020,Emirates Stadium,Arsenal,West Ham
07/03/2020,Turf Moor,Burnley,Spurs
07/03/2020,Stamford Bridge,Chelsea,Everton
07/03/2020,Selhurst Park,Crystal Palace,Watford
07/03/2020,King Power Stadium,Leicester,Aston Villa
07/03/2020,Anfield,Liverpool,Bournemouth
07/03/2020,Old Trafford,Man Utd,Man City
07/03/2020,Bramall Lane,Sheffield Utd,Norwich
07/03/2020,St. Mary's Stadium,Southampton,Newcastle
07/03/2020,Molineux Stadium,Wolves,Brighton
14/03/2020 15:00,Vitality Stadium,Bournemouth,Crystal Palace
14/03/2020 15:00,Villa Park,Aston Villa,Chelsea
14/03/2020 15:00,Amex Stadium,Brighton,Arsenal
14/03/2020 15:00,Goodison Park,Everton,Liverpool
