,Country Name,Country Code,Year,Agricultural land (sq. km),Agricultural land (% year difference),Electric power consumption (kWh per capita),Electric power consumption (% year difference),GDP per capita growth (annual %),GDP per capita growth (% year difference),Livestock production index (2004-2006 = 100),Livestock production index (% year difference),Ores and metals exports (% of merchandise exports),Ores and metals exports (% year difference),Urban population,Urban population (% year difference),Crop production index (2004-2006 = 100),Crop production index (% year difference),Food production index (2004-2006 = 100),Food production index (% year difference),Forest area (% of land area),Forest area (% year difference)
291,Brazil,BRA,1991,2449410.0,0.013795073010827386,1486.22457039677,0.017432169232968198,-0.258462199951268,-0.9466193543903081,49.03,0.09246880570409988,14.348702051654,0.058270394954290206,113265899.0,0.0283236012497321,60.09,0.018129447644866126,53.73,0.045330739299610956,65.1056185945677,-0.00465173173832234
297,Canada,CAN,1991,677530.0,-0.0002213434069177067,16181.5887481801,0.0008791897239888158,-3.29539168761582,1.4700421344271515,67.0,-0.01615271659324513,7.820515630878099,-0.08742747146401542,21482271.0,0.013007566055328379,81.54,-0.017235145233216786,73.52,-0.007961138847658922,38.2938938044825,-0.00013522078943817295
301,Chile,CHL,1991,157890.0,-0.006918674130448443,1313.9430161320402,0.06166523724120876,6.04188997488899,2.6546440096353967,55.67,0.010711692084241164,49.225733156032106,-0.09867624740512126,11254775.0,0.018171306065337456,63.43,0.05558329172907306,59.86,0.039777661976724055,20.604491757563398,0.003741047590577251
317,Germany,DEU,1991,171360.0,-0.0496894409937888,6564.79719472728,-0.011285771807554301,4.3452200412476,-0.0014750806889564094,107.63,-0.06082024432809774,2.38887839514846,-0.05132043425128918,58625381.0,0.009392914670807828,83.28,-0.11470181779525879,101.17,-0.06618054273583163,32.3816354670896,0.0004779106747792028
343,United Kingdom,GBR,1991,181430.0,-0.0032961599736307523,5451.67717061817,0.017754247236108966,-1.39330977957196,-4.17651881022941,108.88,0.014063518673745001,2.9145894417484,-0.07357552303662107,44855736.0,0.002737828386500052,105.74,0.007911543227528295,109.58,0.022201492537313294,11.5554089929163,0.006335528313978767
357,High Income Countries,HIC,1991,13156015.0036937,-0.0036823424485245004,7473.149754532579,0.024236815447223226,0.7445872143547378,-0.6834020302501653,88.4747256554845,0.0003630809875354579,4.89656201759104,0.36434318151226064,754703686.0,0.012106764128053227,85.3715640841477,-0.023192233242730897,86.2652023159289,-0.010310643088732308,28.477859630040804,0.0009516501505644204
371,India,IND,1991,1815860.0,0.0009536251536548246,290.89957757274,0.06923418596915187,-0.98357458131818,-1.292289221900312,61.68,0.016815034619188873,5.3231535285019005,0.03177079383521031,229752408.0,0.029835230913914046,73.68,0.01501584240253484,71.13,0.014259232853272463,21.5539879935356,0.0022693749120252793
385,Cambodia,KHM,1991,45100.0,0.012345679012345734,1266.25700724576,0.023220175532139065,0.07956460876411595,-0.9394997391123963,58.21,0.2029344905972308,2.7669993926301606,0.005460171643561829,1475791.0,0.05765236722647993,46.04,-0.02333474756045828,47.49,0.02238966630785799,72.5368241293479,-0.01080035573914584
398,Low Income Countries,LIC,1991,4463290.0,0.003878954184967087,1266.25700724576,0.023220175532139065,-2.80929385742515,0.2590473962722897,70.5394474423933,0.04583924089702718,2.7669993926301606,0.005460171643561829,80677638.0,0.04333019747477218,73.3257909896598,0.07036099516581884,72.0906684085815,0.06253622193093333,29.6940847891093,-0.0048058771119536825
418,Middle Income Countries,MIC,1991,23156526.000236604,0.0059460067291734475,906.52725125472,0.003616359902374411,-0.644633112240072,-3.7224697448137105,56.1720470051586,0.053925598991711565,3.83846188552896,-0.12182768824718948,1493922280.0,0.031142716084700428,63.137221347312796,0.026452546409239774,59.9296592858508,0.03163538445361125,34.2524613036383,-0.002229662360311413
442,New Zealnd,NZL,1991,161190.0,-0.0038932146829810943,8842.379331063492,-0.01448136642873199,-5.76868862312574,6.517543866848247,71.93,0.0649985193959135,5.127775139681138,-0.09501304157769286,2969087.0,0.05221886219809835,73.13,-0.031005697628196716,69.07,0.06179861644888551,36.86187235340471,0.004980286744148188
495,Thailand,THA,1991,215160.0,0.0062198943085629566,792.085401179208,0.11631689835235304,7.27929120448056,-0.2434913880523123,88.79,0.11112501564259802,0.6858909938876488,-0.33996592444790985,16936803.0,0.017733905607252076,66.02,0.0636378282584178,75.38,0.10140268848626532,28.001330245992303,0.02146373504998178
513,United States of America,USA,1991,4269480.0,0.0,12134.1721315039,0.035928328328885595,-1.43419451514927,-2.9342282716333994,80.34,0.019543147208122003,2.7762280400745296,-0.09070408162669741,191509147.0,0.018849290600078783,77.28,-0.02682281828485067,77.15,-0.010136002052861026,33.0341647687074,0.0003590469499108462
519,Vietnam,VNM,1991,67510.0,0.0037169194171871034,98.78025467534194,0.03705328959954879,3.75105445264032,0.3038039970226918,38.68,0.0038930703348039053,2.7669993926301606,0.005460171643561829,14324149.0,0.04005408166880908,47.21,0.03258967629046383,49.82,0.012601626016260026,29.4921514965898,0.025248359566914846
525,South Africa,ZAF,1991,960050.0,0.0042364016736402554,4128.2697423973905,-0.026063365069602273,-3.42838572145236,0.28134543566298387,82.61,0.03534277478380732,2.7669993926301606,0.005460171643561829,19822817.0,0.03514047946303167,84.81,0.012294103604678863,81.71,0.026894558250597056,7.61773652408313,0.0
535,Argentina,ARG,1992,1277550.0,0.0007441641861194448,1410.3772918071802,0.04659062825425253,6.487606323943781,-0.14797554059168627,81.87,-0.015748978119740298,1.16825028210882,-0.3126272162462438,29352243.0,0.016097563390382597,58.01,0.017897876820494707,65.31,0.00015313935681482427,12.499186403100099,-0.008501546039297647
539,Australia,AUS,1992,4661780.0,0.00692047501587556,8550.32866533295,0.0033054349485375223,-0.79850510873662,-0.5185929208029808,87.79,-0.004196914700544396,18.780386049943303,-0.06555700260243935,14920611.0,0.010809254487568865,67.34,0.19886060174470366,74.63,0.07753393011839438,16.7399086211161,0.00023333411111714497
543,Belgium,BEL,1992,61450.0,-0.09030347890451518,6850.6637725359815,0.029336924832442435,1.11956575279089,-0.2307355355708438,76.74,0.06753842943590449,3.52320878903759,-0.04393147140607068,9697796.0,0.004908487468999967,75.276634411608,0.03260129508378595,74.55,0.040106765146233014,31.649698729276352,-0.0008567106121801782
555,Brazil,BRA,1992,2467090.0,0.007218064758452103,1494.0614956445402,0.005273042448543208,-2.15185202915798,7.3255966619633455,51.65,0.05343667142565778,11.8909928372868,-0.17128442736629923,116379447.0,0.027488838454370113,64.06,0.06606756531868863,56.89,0.058812581425646826,64.8013568210152,-0.004673356618377644
561,Canada,CAN,1992,678140.0,0.0009003291367171151,16164.419040336,-0.001061064405436074,-0.28703142535646003,-0.9128991474867365,70.68,0.05492537313432844,7.301415426718861,-0.06637672356406421,21813814.0,0.015433331047727705,76.46,-0.062300711307333945,73.29,-0.0031284004352555295,38.288714973646,-0.00013523907657286838
565,Chile,CHL,1992,155560.0,-0.014757109379948119,1457.08919337784,0.1089439766324043,9.34717155375166,0.5470608688009748,57.34,0.029998203700377202,46.787157603382795,-0.04953863348098231,11464830.0,0.018663633879842045,66.82,0.05344474223553508,62.52,0.044437019712662895,20.681288161131306,0.003727168059834307
581,Germany,DEU,1992,169510.0,-0.010795985060690905,6445.87399989269,-0.01811528845553778,1.15600535384446,-0.7339593063479134,97.32,-0.09579113630028802,2.35746700037597,-0.01314901371132271,59146205.0,0.0088839337351172,84.97,0.0202929875120077,95.7,-0.054067411287931244,32.397100806827,0.00047759600509111877
607,United Kingdom,GBR,1992,180700.0,-0.004023590365430207,5452.393333412299,0.00013136559112281176,0.0999580467631205,-1.0717414377108792,108.11,-0.007072005878030807,2.4105756596540298,-0.17292788304071505,45011752.0,0.0034781727803998574,110.42,0.04425950444486482,110.59,0.009217010403358428,11.6281567030624,0.006295554764932598
621,High Income Countries,HIC,1992,13262501.0073406,0.00809409259696059,7480.578949104821,0.000994118252178211,1.4435097833421902,0.9386711932639635,89.55211160302929,0.012177330187381097,4.50765878710258,-0.07942373222095711,761461407.0,0.008954138061543881,89.8866098230072,0.052886997998644825,89.7118660706664,0.03995427660523876,28.5050686754503,0.0009554455904683401
635,India,IND,1992,1813050.0,-0.0015474761270142245,304.431831195725,0.04651864308603626,3.39041923244446,-4.447038279395796,63.8,0.03437094682230857,4.26668577212633,-0.19846652002781762,236274335.0,0.02838676232720916,77.07,0.04600977198697054,74.12,0.04203570926472677,21.6027900062727,0.0022641755554348997
649,Cambodia,KHM,1992,45150.0,0.0011086474501109667,1310.45745702785,0.03490638119210154,0.598037741456196,6.516378836590398,67.29,0.1559869438240853,2.586170607610375,-0.0653519424331711,1562342.0,0.05864719326788137,44.56,-0.03214596003475234,48.01,0.010949673615497924,71.7448469897179,-0.010918277014964839
662,Low Income Countries,LIC,1992,4517382.00195313,0.012119311528744348,1310.45745702785,0.03490638119210154,-6.13782553146196,1.184828587881357,70.0263443052849,-0.0072739886079691285,2.586170607610375,-0.0653519424331711,84183799.0,0.04345889501623734,72.88511538033559,-0.0060098309663831895,71.56439942691391,-0.007300098518783327,29.544721615468106,-0.00503006490019775
682,Middle Income Countries,MIC,1992,29032264.801766,0.25374008180110263,897.879271477496,-0.009539679877526464,-0.895322193786114,0.38888644840924824,66.3523184490073,0.18123376281647308,3.75064481048913,-0.022878193833551275,1538879791.0,0.030093607680849344,67.1157234085233,0.06301357545218966,65.39409120778771,0.09118076069601555,34.176054626494306,-0.0022306915834944263
706,New Zealnd,NZL,1992,159600.0,-0.00986413549227616,8636.633915678001,-0.023268105527061267,0.047073053277245015,-1.0081600960552,72.94,0.014041429167245711,4.60751037142965,-0.1014601370144792,3005583.0,0.012291994138265316,78.13,0.06837139340899778,70.95,0.027218763573186866,37.0445489928696,0.004955707016548683
759,Thailand,THA,1992,213740.0,-0.006599739728574083,893.37636849555,0.12787884635362068,7.0017206949815,-0.03813152980172163,99.14,0.11656718098885,0.5952589826168461,-0.13213763131237233,17206294.0,0.015911562530425583,68.56,0.038473189942441754,77.92,0.033695940567789906,28.5897163681272,0.021012791784029927
777,United States of America,USA,1992,4254290.0,-0.0035578103188210752,12014.9582478929,-0.009824640883532965,2.09661470539942,-2.4618761146086277,82.92,0.03211351755041081,2.3262720270914903,-0.1620745869892446,195199459.0,0.019269638332209738,87.07,0.12668219461697716,84.23,0.0917692806221646,33.046021327749,0.0003589180814655979
783,Vietnam,VNM,1992,70250.0,0.040586579765960584,101.843192492197,0.03100759182006496,6.42889560871292,0.7138902380336551,42.72,0.10444674250258523,2.586170607610375,-0.0653519424331711,14889784.0,0.039488209735880186,51.1,0.08239779707689054,53.8,0.07988759534323564,30.218439290569602,0.024626477117608125
789,South Africa,ZAF,1992,964730.0,0.004874746106973582,3997.0411097446804,-0.03178780478053311,-4.550333054474732,0.3272523642838774,82.87,0.0031473187265464997,10.1529438880135,2.669297476195923,20511177.0,0.03472563965050979,62.13,-0.2674212946586487,69.38,-0.1508995227022396,7.61773652408313,0.0
799,Argentina,ARG,1993,1278500.0,0.0007436108175804534,1496.9041461183301,0.06135014709452613,6.802920861441491,0.04860260036648345,86.41,0.055453768169048345,1.1605816891809098,-0.006564169549411636,29809452.0,0.015576629016051724,54.57,-0.059300120668850154,64.75,-0.008574490889603492,12.3920142809379,-0.00857432785670098
803,Australia,AUS,1993,4602860.0,-0.012638949070955752,8701.76034414445,0.017710626659940498,3.01661315834043,-4.7778257463039395,89.94,0.02449026084975503,17.459160322827998,-0.07035136144708243,15044687.0,0.008315745246625594,69.05,0.02539352539352535,78.22,0.04810397963285551,16.7438137016258,0.00023327967900454993
807,Belgium,BEL,1993,61255.0,-0.0031733116354759616,6881.0721430714,0.004438748060782816,-1.34799949124044,-2.2040378047292917,78.2,0.019025280166797165,3.2986979660232203,-0.06372339434237662,9743821.0,0.004745923712975664,77.75793977248641,0.03296249068882107,76.4812813868004,0.025905853612346208,30.944747309243894,-0.022273558622546097
819,Brazil,BRA,1993,2494630.0,0.011162949061444882,1537.59271699385,0.029136164392303376,2.93706715995854,-2.36490201006424,53.47,0.03523717328170384,10.5855019887076,-0.10978821251035908,119489196.0,0.026720774846094697,62.89,-0.018264127380580697,57.45,0.009843557743012932,64.4970875697225,-0.00469541482183955
825,Canada,CAN,1993,678740.0,0.0008847730557111078,16320.127298241001,0.009632777863308961,1.53886099282003,-6.3612979516404575,69.61,-0.015138653084323828,6.095579079577969,-0.16515103944479648,22130869.0,0.014534597205238864,83.38,0.09050483913157215,73.04,-0.0034111065629690573,38.2835327062927,-0.00013534712138718596
829,Chile,CHL,1993,154770.0,-0.005078426330676233,1514.74330791168,0.039568006403359224,4.86808377336688,-0.4791917805966678,63.11,0.10062783397279373,43.140874288839996,-0.07793342236030953,11699244.0,0.020446356378594377,69.49,0.03995809637832992,66.47,0.06317978246960965,20.758083251289,0.0037132643556518907
845,Germany,DEU,1993,171620.0,0.012447643206890513,6288.41635005255,-0.024427664866356613,-1.62815805671195,-2.408434702570606,95.92,-0.014385532264693746,2.40278350186644,0.01922253905706528,59647492.0,0.008475387389605071,85.23,0.003059903495351346,93.1,-0.027168234064785857,32.4134973513763,0.0005061114772915154
871,United Kingdom,GBR,1993,175340.0,-0.029662423907028224,5491.98911810322,0.007262092492168026,2.28083914092478,21.817964283854884,107.16,-0.008787346221441172,2.56766793615529,0.0651679510129155,45154426.0,0.0031697055471202606,103.8,-0.059952907082050366,107.3,-0.029749525273532917,11.7009054223458,0.006256255496130514
885,High Income Countries,HIC,1993,13304383.0072528,0.003157926237971065,7583.653210233,0.01377891495156458,0.394694743420516,-0.7265728656811243,89.77251972854009,0.0024612275642124093,4.0540075427192495,-0.10064010294686188,770008802.0,0.011224987795080743,84.35848956868759,-0.06150104298298553,86.33323744523871,-0.03766088894825059,28.5316608342589,0.0009328922905385006
899,India,IND,1993,1813820.0,0.00042469871211503474,320.550746898983,0.05294753718738043,2.70672773345568,-0.20165397023654952,66.06,0.03542319749216305,3.70139311775317,-0.1324898725999789,242896345.0,0.028026785050521807,79.74,0.034643830284157184,76.9,0.03750674581759306,21.651593332834395,0.0022591214629001932
913,Cambodia,KHM,1993,45310.0,0.0035437430786267043,1284.70562259368,-0.019651026667112048,0.695587916525355,0.16311708828213511,70.33,0.04517758953782125,2.42744722466476,-0.06137390258729902,1653845.0,0.05856784238022139,45.85,0.028949730700179588,49.93,0.03999166840241619,70.95286431778271,-0.011038878820784026
926,Low Income Countries,LIC,1993,4912343.99902344,0.08743161346539763,1284.70562259368,-0.019651026667112048,-3.48582469500731,-0.4320749788114251,68.7369682306158,-0.018412728630356145,2.42744722466476,-0.06137390258729902,87806026.0,0.043027602021144196,73.4530264899375,0.0077918667842999945,71.902955479081,0.004730788700502586,28.3200217341119,-0.041452408903897564
946,Middle Income Countries,MIC,1993,29074058.0000082,0.0014395431609475207,894.4131632435519,-0.003860327712255196,1.07855394193324,-2.2046545360081833,68.7233728852547,0.03573431180207498,3.3986087555914803,-0.09386014210493576,1584014612.0,0.02932965996692327,69.09882028663671,0.02954742610822514,67.85145015020039,0.0375776908437262,34.1009091447873,-0.002198775795751118
970,New Zealnd,NZL,1993,159190.0,-0.002568922305764443,8909.35557919489,0.031577309653222585,5.1854147603771,109.15675422277558,74.24,0.017822868110775936,4.29944466314638,-0.06686164185186227,3045443.0,0.01326198611051499,77.59,-0.006911557660309597,72.74,0.02522903453135994,37.227221923540704,0.004931168974584121
1023,Thailand,THA,1993,212450.0,-0.006035370075793023,1008.5232427367399,0.12888954566270638,7.27360688287423,0.03883133871472544,100.81,0.01684486584627809,0.5279760902213121,-0.11303129286642344,17462829.0,0.014909369792240001,66.79,-0.02581680280046672,76.35,-0.020148870636550353,29.1781005787694,0.020580274496817097
1041,United States of America,USA,1993,4229480.0,-0.005831760411255438,12261.5237824091,0.020521547343657298,1.40675791175455,-0.32903365213850655,83.13,0.0025325615050650896,2.13402800640779,-0.08264038704194909,198806845.0,0.018480512284616557,74.25,-0.14723785459974725,76.98,-0.08607384542324592,33.0578812987501,0.0003588925542190591
1047,Vietnam,VNM,1993,70870.0,0.00882562277580079,112.060380157717,0.10032273552601789,5.95489233810423,-0.07373012403036772,44.12,0.03277153558052426,2.42744722466476,-0.06137390258729902,15462867.0,0.03848833535798768,54.08,0.05831702544031314,56.28,0.04609665427509291,30.9447300848336,0.024034689127398368
1053,South Africa,ZAF,1993,969360.0,0.004799270262145994,4023.28823288233,0.006566638274912773,-1.22145568272352,-0.7315678505066001,80.85,-0.024375527935320496,7.7014153642942595,-0.2414598712215379,21212379.0,0.034186336552017416,80.26,0.2918075004023821,78.57,0.13245892187950425,7.61773652408313,0.0
1063,Argentina,ARG,1994,1279480.0,0.0007665232694564761,1576.7670604190305,0.053352056314223795,4.50547229943265,-0.3377150210625892,90.28,0.0447864830459439,1.31531754097969,0.13332611848114406,30260590.0,0.015134058821342888,58.54,0.07275059556532892,68.92,0.06440154440154444,12.284840731412801,-0.008648597967641058
1067,Australia,AUS,1994,4691000.0,0.019148963905050387,8812.48949873985,0.012724914295061174,2.88783404568591,-0.0426899658308747,92.22,0.02535023348899257,15.469581005122,-0.11395618580262457,15181749.0,0.009110325791424012,54.3,-0.21361332367849384,73.42,-0.061365379698286815,16.7477187821356,0.0002332252722938577
1071,Belgium,BEL,1994,61405.0,0.0024487796914538507,7176.240506868448,0.04289569381920444,2.90931871085137,-3.1582491163807425,79.0101348620973,0.010359780845234035,3.3562712413929905,0.01745333339480548,9781788.0,0.003896520677052706,78.72999999999998,0.01250110574377028,77.06905013843759,0.0076851321131059525,31.1202810861014,0.005672490232456084
1083,Brazil,BRA,1994,2514180.0,0.00783683351839759,1566.76124114953,0.018970253847655716,3.62758491771604,0.23510451758523887,56.53,0.057228352347110656,9.60980946329326,-0.09217253243683565,122608542.0,0.02610567402261199,68.28,0.08570519955477818,62.05,0.08006962576153165,64.19282579617,-0.0047174498107931395
1089,Canada,CAN,1994,679340.0,0.0008839909243598676,16388.2805024147,0.004176021603767843,3.3562268127368395,1.1809811467028006,71.33,0.02470909352104589,5.96987838394579,-0.020621616747342975,22450573.0,0.014446066261564416,85.8,0.029023746701847042,76.13,0.042305585980284555,38.27835387545621,-0.00013527567782789518
1093,Chile,CHL,1994,154500.0,-0.0017445241325838579,1588.6954569776,0.048821571734074976,3.3887012377715298,-0.3038942229566799,68.56,0.0863571541752497,43.403342793569,0.006083986684453979,11931317.0,0.019836580893602962,74.44,0.07123327097424093,71.84,0.08078832556040316,20.834879654856802,0.003699590306009304
1109,Germany,DEU,1994,173080.0,0.008507166996853499,6244.95722825812,-0.006910980344688289,2.04348990653529,-2.255093077794977,93.36,-0.026688907422852348,2.41636599754639,0.005652817105411101,60028206.0,0.0063827327392071975,81.26,-0.046579842778364355,89.86,-0.03480128893662726,32.429892037968,0.000505798137546698
1135,United Kingdom,GBR,1994,174090.0,-0.007129006501653934,5380.264265153761,-0.020343240044154665,3.63079241181154,0.5918669347016787,110.49,0.031075027995520754,2.5481275039349702,-0.007610186638689176,45304828.0,0.0033308362728383667,98.86,-0.04759152215799611,107.24,-0.0005591798695246952,11.7736531324918,0.006217271870864849
1149,High Income Countries,HIC,1994,13430480.0043231,0.009477853802131175,7752.24342573755,0.022230739042373715,2.41017227695343,5.106421018091904,90.94425128294807,0.01305222976865461,2.9126540704950696,-0.28153708649950127,778343596.0,0.010824284057989297,90.4794100170325,0.07255844052732896,89.88585557257471,0.04115006262320975,28.5582041853303,0.0009303121618327026
1163,India,IND,1994,1812910.0,-0.0005017035869049336,341.231361257802,0.06451588261416918,4.60628844055002,0.701792309442653,68.33,0.034362700575234495,3.47983477745881,-0.059858094843179166,249629427.0,0.027719980718524218,82.07,0.02921996488587908,79.03,0.027698309492847795,21.700395345571604,0.0022539686565792305
1177,Cambodia,KHM,1994,45700.0,0.008607371441182954,1312.20566232718,0.021405712911865882,-37.0021303070705,-54.195475982253825,69.48,-0.01208588084743345,2.41074145602942,-0.006882031652674647,1748471.0,0.057215760848205344,44.41,-0.03140676117775365,48.08,-0.03705187262167031,70.1608871781526,-0.011162017872640151
1190,Low Income Countries,LIC,1994,4932756.00097656,0.004155246855101602,1312.20566232718,0.021405712911865882,-2.59931530445904,-0.25431840901752834,70.6964380080686,0.028506782127467156,2.41074145602942,-0.006882031652674647,91451765.0,0.04152037355613847,72.21396366585171,-0.01686877836484424,71.83144754344359,-0.0009945062085552347,28.1737149385025,-0.005166196445152149
1210,Middle Income Countries,MIC,1994,29144094.0029302,0.002408882960953873,895.656169073215,0.0013897445618480386,0.7972771739642891,-0.26079063552888226,71.23527147859191,0.0365508630889122,3.2281282884985094,-0.05016183955051956,1629416844.0,0.028662760845794555,69.8359013601261,0.010667057272929048,69.4725262748706,0.02389154721205955,34.0292384090763,-0.002101725071513516
1234,New Zealnd,NZL,1994,151160.0,-0.05044286701425971,8927.90055248619,0.0020815167973098347,3.73037202909214,-0.28060296013411756,77.21,0.040005387931034475,4.36289340759287,0.01475742785814993,3091625.0,0.015164296294496449,88.92,0.14602397216136098,76.18,0.04729172394830927,37.4098985630056,0.004907071493008175
1287,Thailand,THA,1994,211200.0,-0.005883737349964724,1106.33889417983,0.0969889907322874,7.01095769310778,-0.036109896231106386,99.66,-0.011407598452534473,0.534939068416225,0.013188055906081297,17724400.0,0.014978729964085336,70.83,0.060488097020511944,78.9,0.033398821218074914,29.766486700904302,0.02016533326240655
1305,United States of America,USA,1994,4211390.0,-0.004277121537399342,12455.1621656545,0.0157923588194806,2.7609275425347,0.9626173909988462,87.0,0.04655359076145804,2.1962893653962703,0.02917551166223209,202278113.0,0.01746050544688238,93.38,0.2576430976430977,89.19,0.15861262665627418,33.0697378577917,0.00035866058488309704
1311,Vietnam,VNM,1994,71400.0,0.007478481727106079,129.312185984487,0.1539509843040805,6.842657310361719,0.1490816158970414,47.36,0.07343608340888497,2.41074145602942,-0.006882031652674647,16036816.0,0.03711789023342171,56.54,0.045488165680473314,58.72,0.04335465529495375,31.6710178788135,0.023470484052981355
1317,South Africa,ZAF,1994,972650.0,0.0033939919121894757,4068.47845280967,0.011232160688364523,0.83317948012494,-1.6821201062875835,77.89,-0.036611008039579396,6.42379832363626,-0.1658937974675877,21906214.0,0.03270896677831381,90.11,0.12272614004485405,82.96,0.05587374315896665,7.61773652408313,0.0
1327,Argentina,ARG,1995,1280450.0,0.0007581204864475222,1648.89513287663,0.045744279081040284,-4.03215595317569,-1.8949463419591854,90.71,0.004762959680992385,1.6323434065913305,0.2410261064225674,30705908.0,0.014716104345619208,66.08,0.12880081995216952,73.95,0.07298316889146839,12.1776671818876,-0.008724048758007474
